District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Georgetown,01050000,69.00,561,,556
Gill-Montague,06740000,7.00,,,
Global Learning Charter Public (District),04960000,21.00,492,,520
Gloucester,01070000,90.00,558,,552
Grafton,01100000,215.00,587,,580
Granby,01110000,35.00,594,,567
Greater Commonwealth Virtual District,39010000,16.00,577,,560
Greater Fall River Regional Vocational Technical,08210000,62.00,525,,504
Greater Lawrence Regional Vocational Technical,08230000,67.00,461,,475
Greater Lowell Regional Vocational Technical,08280000,117.00,508,,497
Greater New Bedford Regional Vocational Technical,08250000,81.00,518,,510
Greenfield,01140000,33.00,583,,576
Groton-Dunstable,06730000,189.00,601,,613
Hadley,01170000,33.00,568,,532
Hamilton-Wenham,06750000,106.00,614,,598
Hampden Charter School of Science East (District),04990000,58.00,546,,534
Hampden-Wilbraham,06800000,188.00,570,,579
Hampshire,06830000,46.00,608,,591
Hanover,01220000,159.00,567,,544
Harvard,01250000,83.00,642,,631
Hatfield,01270000,19.00,623,,542
Haverhill,01280000,158.00,559,,547
Hingham,01310000,344.00,612,,611
Holbrook,01330000,46.00,545,,529
Holliston,01360000,232.00,609,,603
Holyoke,01370000,73.00,482,,458
Hoosac Valley Regional,06030000,39.00,530,,510
Hopedale,01380000,57.00,584,,566
Hopkinton,01390000,287.00,620,,635
Hudson,01410000,94.00,574,,565
Hull,01420000,55.00,571,,542
Innovation Academy Charter (District),04350000,29.00,638,,650
Ipswich,01440000,126.00,598,,585
KIPP Academy Lynn Charter (District),04290000,6.00,,,
King Philip,06900000,291.00,591,,578
Lawrence,01490000,415.00,426,,423
Lee,01500000,38.00,543,,514
Leicester,01510000,49.00,554,,530
Lenox,01520000,36.00,585,,569
Leominster,01530000,225.00,545,,542
Lexington,01550000,678.00,663,,688
Lincoln-Sudbury,06950000,381.00,625,,641
Littleton,01580000,111.00,603,,596
Longmeadow,01590000,217.00,611,,606
Lowell,01600000,316.00,520,,532
Ludlow,01610000,123.00,562,,559
Lunenburg,01620000,73.00,582,,582
Lynn,01630000,211.00,518,,507
Lynnfield,01640000,167.00,586,,586
MATCH Charter Public School (District),04690000,62.00,471,,485
Ma Academy for Math and Science,04680000,67.00,720,,762
Malden,01650000,388.00,503,,520
Manchester Essex Regional,06980000,94.00,613,,606
Mansfield,01670000,258.00,582,,583
Map Academy Charter School (District),35170000,1.00,,,
Marblehead,01680000,233.00,587,,571
Marlborough,01700000,143.00,538,,527
Marshfield,01710000,305.00,567,,557
Martha's Vineyard,07000000,138.00,561,,537
Martha's Vineyard Charter (District),04660000,3.00,,,
Masconomet,07050000,401.00,580,,579
Mashpee,01720000,68.00,545,,541
Maynard,01740000,73.00,588,,555
Medfield,01750000,240.00,596,,599
Medford,01760000,182.00,575,,561
Medway,01770000,215.00,582,,577
Melrose,01780000,231.00,584,,552
Mendon-Upton,07100000,165.00,587,,558
