"District.Name","Average.Salary","Total.Students","percent_students_in_art","White..","percent_black_hispanic","percent_take_sat","percent_disciplined"
"Weymouth","  $80,324",5523,74.1806988955278,68.2,19.8,4.54463154082926,8.38312511316314
"Whitman-Hanson","  $86,197",3513,67.77682892115,85.8,9.2,5.32308568175349,2.36265300313123
"Whittier Regional Vocational Technical","  $89,567",1236,4.12621359223301,66.2,28.3,4.85436893203883,5.2588996763754
"Wilmington","  $84,590",2816,89.6306818181818,84.1,6.1,5.78835227272727,2.13068181818182
"Winchendon","  $80,990",1131,80.1945181255526,85.2,9.1,7.42705570291777,7.60389036251105
"Winchester","  $85,916",4441,80.4323350596712,69.9,4.6,8.80432335059671,0.630488628687233
"Winthrop","  $75,638",1825,83.6712328767123,80.5,17.4,3.01369863013699,1.80821917808219
"Woburn","  $84,510",4177,84.6301173090735,68.4,19.9,4.26143164950922,0.646396935599713
"Worcester","  $86,937",20249,78.4680724974073,29,60.2,6.7904587880883,7.47197392463825
"State Totals","  $84,589",883923,77.5010945523535,56.5,31.8,5.74507055478814,4.48862627174539
